,A/C,ABS,Adjustable Driver Seat,Alternator (Amps),Arm-rest,Axle Configuration,Axle Types,Battery(Volts),Body Brakes,Body Material,Body Option,Brakes,Bulker Air Inlet Pipe,Bulker Discharge Pipe,Bulker Electricals,Bulker Equipments,Bulker Pressure,Bulker Type,Cabin Type,Canopy Length,Chassis,Chassis Type,Clutch,Company,Cruise Control,Displacement (cc),Driver Information Display,Electricals,Emission Norms,Engine,Engine Cylinders,Engine Displacement,External/Interior Surface,Floor Material,Floor Type,Fog Lights,Front Axle,Front Suspension,Front Tyre,Fuel Tank (Litres),Fuel Type,GVW / GCW (Kgs),Gearbox,Gradeability (%),Ground Clearance (mm),Height {mm (ft.)},Hill Hold,Kerb Weight (Kgs),Landing Gear,Length {mm (ft.)},Loading Platform Area(Sq.ft),Max Power,Max Speed (km/h),Max Torque,Mileage,Model,Navigation System,No. Of Axles,No. Of Valves,Number of Tyre,Overall Height (mm),Overall Length (mm),Overall Width (mm),Parking Brakes,Payload (Kgs),Power Steering,Pump Type,Rear Axle,Rear Board Material,Rear Suspension,Rear Tyre,Refrigerating Unit,Seat Belts,Seat Type,Seating Capacity,Side Board Material,Size (Cu. M),Steering,Telematics,Temperature Range,Tiltable Cabin,Tiltable Steering,Transmission,Tubeless Tyres,Turning Radius (mm),Water Tank Capacity (KL),Water Tank Type,Wheelbase (mm),Width {mm (ft.)}
199,No ,No ,Yes ,,Yes ,4x2 ,No ,,"Front-Disc, Rear-Drum, Duel Air over Hydraulic ",No ,Customizable ,Dual Circuit full Air S-cam Brakes ,No ,No ,No ,No ,,No ,Day Cabin ,No ,Bolted Chassis Construction ,Chassis with Cabin ,"Single Plate dry , 330 mm ",TATA,No ,3783 cc,Yes ,No ,BS-IV ,497 TCIC CR ,4,,No ,No ,No ,No ,"Heavy duty Forged ""I"" beam reverse Elliot type Axle ",Semi elliptical leaf springs Suspension ,8.25 X 16 - 16 PR ,160 Ltr,,12990,6-Speed ,30,225,NA ,No ,,No ,NA ,,124.2 bhp  ,80,400Nm  ,,LPT-1010-CRX,No ,No ,No ,,NA ,6225,NA ,Yes ,,Yes ,No ,"Single reduction hypoid gears, fully floating axle shafts TATA RA 1009(5.285) ",No ,Semi elliptical Leaf springs suspension ,8.25 X 16 - 16 PR ,No ,Yes ,Adjustable ,,No ,No ,Power assisted ,No ,No ,Yes ,Yes ,Manual ,Yes ,7400,No ,No ,3400 mm,NA 
200,No ,Yes ,Yes ,,No ,,No ,,No ,No ,Box body ,Air Brakes ,No ,No ,No ,No ,,No ,Day and Sleeper Cabin ,No ,Yes ,Chassis with Cabin ,"380 mm dia, Diaphragm ",ASHOK-LEYLAND,No ,0 cc,Yes ,"2 X 12V, 110 Ah ",BS-IV ,Equipped with iEGR H6 ,6,,No ,No ,No ,No ,Fully floaing single speed hypoid ,Semi elliptic multi leaf spring ,10X20 - 16 PR ,200 Ltr,,16200,6-Speed ,,,,No ,,No ,,,160 bhp  ,,550 Nm  ,,BOSS-1616,No ,No ,No ,,,,,Yes ,,,No ,"Forged I beam, reverse elliot type ",No ,Semi elliptic multi leaf with helper spring ,10X20 - 16 PR ,No ,Yes ,Standard ,,No ,No ,,No ,No ,,,Manual ,,,No ,No ,0 mm,
201,No ,No ,,40,No ,,,48 V 12x4 ,,,Deck Body ,Drum Brake ,,,,,,,Day Cabin ,,,Chassis with Cabin ,,KINETIC,No ,0 cc,Yes ,,BS-IV ,PMDC Motor ,,,,,,No ,,,,,,750,2-Speed ,7,105,,No ,400,,,,850 W ,80,,,SAFAR-SHAKTI,No ,,,3,1725,2710,1000,Yes ,350 Kgs,No ,,,,,,,No ,Standard ,D+1 ,,,Handle Bar ,No ,,No ,,Manual ,No ,,,,2000 mm,
202,No ,No ,Yes ,,No ,. ,NA ,,NA ,NA ,Customizable ,Air Brakes ,NA ,NA ,NA ,NA ,. ,NA ,Day Cabin ,NA ,Yes ,Chassis with Cabin ,275 mm dia. ,EICHER,No ,3298 cc,Yes ,12 V ,BS-IV ,E483-CNG-62-4 ,4,,NA ,NA ,NA ,No ,. ,Semi-elliptical laminated leaves (with shock absorber) ,8.25 x 16 - 16PR ,320 Ltr,,9700,5-Speed ,15.3,210,NA ,NA ,,NA ,5346(17.6) ,,83 bhp  ,,230 Nm  ,,PRO-1095-CNG,No ,NA ,NA ,,,,,Yes ,,No ,NA ,. ,NA ,Semi-elliptical laminated leaves ,8.25 X 16 - 16PR ,NA ,Yes ,Standard ,,NA ,NA ,Manual Steering ,No ,NA ,. ,Yes ,Manual ,No ,,NA ,NA ,4065 mm,2007(6.6) 
203,No ,No ,Yes ,,No ,6x4 ,No ,,Spring Actuated ,No ,Customizable ,Air Brakes ,No ,No ,No ,No ,,No ,Sleeper Cabin ,No ,No ,Chassis with Cabin ,Ceramic Clutch ,AMW,No ,5883 cc,Yes ,No ,BS-III ,"CuMmins - B18031, DI Turbocharged ",6,,No ,No ,No ,No ,"Heavy Duty Forged ""I"" section Reverse Elliot type Axle ","Semi elliptical multi leaf springs suspension, with 2 nos. Heavy duty Hydraulic Double Acting Shock Absorbers ",10 x 20 - 16PR ,240 Ltr,,25000,6-Speed ,26,285,No ,No ,7260,No ,No ,,178bhp  ,78,675Nm  ,,2518-TP,No ,No ,No ,,2780,7295,2475,Yes ,17740 Kgs,Yes ,No ,First rear Axle:- Single-speed Hypoid gear Axle Second rear Axle:- Heavy duty Tubular dummy Axle ,No ,Bell Crank suspension. ,10.00 x 20 - 16PR ,No ,Yes ,Standard ,,No ,14 & 16 & 12 ,Adjustable Steering ,No ,No ,Yes ,Yes ,Manual ,No ,4405,No ,No ,4300 mm,No 
204,Yes ,Yes ,Yes ,,No ,,No ,,No ,No ,Customizable ,Air Brakes ,No ,No ,No ,No ,,No ,,No ,Yes ,Chassis with Cabin ,Single plate dry friction 380mm ,TATA,No ,5883 cc,Yes ,24 V x 120 Ah ,BS-IV ,Cummins ISBe 5.9 Common rail with cummins fuel injection system ,6,,No ,No ,No ,No ,Extra Heavy Duty Forged I Beam Reverse elliot type ,Parabolic Spring ,295/80R 22.5 ,,,42000,6-Speed ,18.3,,,No ,,No ,,,229 bhp  ,,810 Nm  ,,SIGNA-4223T,No ,No ,No ,,,10807,,Yes ,,Yes ,No ,Single speed hypoid gear in pressed steel welded beam with differential carrier housing fully floating axle shafts ,No ,Semi-elliptical Leaf spring ,295/80R 22.5 ,No ,Yes ,Standard ,,No ,No ,Power Steering ,No ,No ,,Yes ,Manual ,Yes ,,No ,No ,6255 mm,
205,Yes ,NA ,Yes ,,No ,,NA ,,NA ,NA ,Customizable ,Air Brakes ,NA ,NA ,NA ,NA ,,NA ,Sleeper Cabin ,NA ,Fully Suspended ,Chassis with Cabin ,Diaphragm Type 430 mm ,ASHOK-LEYLAND,No ,8000 cc,Yes ,24 V ,E-VI ,Neptune 6 Cylinder Common Rail 8 Litres ,6,,NA ,NA ,NA ,No ,NA ,Parabolic Springs with Stabilizer Bar ,315/80R22.5 ,600 Ltr,,49000,16-Speed ,,,NA ,No ,,NA ,NA ,,400 hp  ,,"1,600 Nm  ",,4940-EURO-6,Yes ,NA ,NA ,,,,,NA ,,Yes ,NA ,Hub Reduction with Cross Axle and Inter Axle Differential Locks ,NA ,Modular Bogie Suspension with V Rod and Stabilizer Bar ,315/80R22.5 ,NA ,Yes ,Standard ,,NA ,NA ,Tilt and Telescopic Power ,YES ,NA ,Yes ,Yes ,Manual ,Yes ,,NA ,NA ,3900 mm,NA 
206,Yes ,Yes ,Yes ,,No ,10x4 ,No ,,No ,No ,Rock/Scoop Body ,Air Brakes ,No ,No ,No ,No ,,No ,Day Cabin ,No ,No ,Chassis with Cabin ,"400 mm dia., Drag type dual friction discs, power assisted ",VOLVO,No ,12800 cc,Yes ,No ,E-III ,"Volvo D13A, DI Heavy Duty Turbocharged Intercooled,with Engine Management System (EMS) ",6,,No ,No ,No ,No ,"First front Axles: Twin heavy-duty straight Axles,Second rear Axle: Heavy-Duty Pressure adjustable Axle ","Leaf springs suspension,Air suspension ",12 x 24 ,270 Ltr,,59000,14-Speed ,30,390,No ,No ,20190,No ,No ,,480bhp  ,50,2400Nm  ,,FM-480,No ,No ,No ,,3900,9644,2800,Yes ,38810 Kgs,Yes ,No ,"First rear Axle: Hub reduction Axle,Second rear Axle: Tandem Bogie Axle with differential lock ",No ,Multi leaf springs suspension ,12 x 24 ,No ,Yes ,Standard ,,No ,,,YES ,No ,Yes ,Yes ,Manual ,No ,13500,No ,No ,6670 mm,No 
207,,,,,,,,,Dual line Air ,,Customizable ,Hydraulic Brakes ,,,,,,,Day Cabin ,,,Chassis with Cabin ,,EICHER,,3298 cc,,,BS-IV ,E483 Tci CRDI with New Rating ,,,,,,,,,,,,12976,,,220,2438(8) ,,,,6096(20) ,,91bhp  ,,300Nm  ,,1110-XP-MS-CONTAINER-E2-PLUS,,,,,2895,8080,2266,,,Yes ,,,,,,,,,,,,,,,,,Manual ,,16600,,,2815 mm,2255(7.4) 
208,No ,Yes ,Yes ,,No ,,,24,,,Box body ,Air Brakes ,,,,,,,Day and Sleeper Cabin ,,Yes ,Chassis with Cabin ,395 mm ,EICHER,Yes ,NA cc,Yes ,,BS-VI ,VEDX5 CRS ,4,,,,,,,Parabolic suspension ,295/90R20 ,350 Ltr,Diesel ,35000,6-Speed ,18,235,,,,,8866,,240 hp ,,900 Nm ,,PRO-6035,No ,,,12,,,,Yes ,NA Kgs,Yes ,,"Heavy duty fully floating single reduction, 458mm drive head ",,Semi elliptic Slipper suspension ,10R20 ,,Yes ,Standard ,D+1 ,,,Power Steering ,,,,Yes ,Manual ,,,,,6800 mm,
209,No ,Yes ,Yes ,,No ,,,,No ,No ,Customizable ,Air Brakes ,No ,No ,No ,No ,No ,No ,Day Cabin ,No ,No ,Chassis with Cabin ,Single Plate dry Friction type 380 mm Dia ,TATA,No ,5883 cc,No ,No ,BS-IV ,Cummins ISBe5.9 180 40 BS-IV Common Rail ,6,,No ,No ,No ,No ,Extra heavy duty forged i beam reverse elliot ,Parabolic Spring ,10 R 20-16PR ,,,37000,6-Speed ,20,,,No ,,No ,,,177.7 bhp  ,,700 Nm  ,,SIGNA-3718,No ,,No ,,,10985,,Yes ,,Yes ,No ,Single speed hypoid gear in pressed steel ,No ,Semi elliptical Leaf spring ,10 R 20-16PR ,No ,Yes ,Standard ,,No ,,Power Steering ,No ,No ,No ,Yes ,Manual ,Yes ,,No ,No ,6750 mm,
210,No ,No ,No ,,No ,,No ,,No ,No ,Tanker ,Air Brakes ,No ,No ,No ,No ,No ,No ,Day and Sleeper Cabin ,No ,Yes ,Chassis with Cabin ,,EICHER,No ,5700 cc,No ,,BS-IV ,E694 5.7 litre with i3 EGR technology ,,,No ,No ,No ,No ,,,10R20 16PR ,,,16200,6-Speed ,,,,No ,,No ,,,170 bhp  ,,620 Nm  ,,PRO-5016-WATER-TANKER,No ,No ,No ,,,,,Yes ,,Yes ,No ,,No ,,10R20 16PR ,No ,Yes ,Standard ,,No ,No ,Power Steering ,No ,No ,No ,Yes ,Manual ,,,No ,No ,4300 mm,
211,Yes ,No ,Yes ,,No ,,No ,,No ,No ,Rock/Scoop Body ,Air Brakes ,No ,No ,No ,No ,,No ,Day Cabin ,No ,Yes ,Chassis with Cabin ,Single plate dry Friction 380 mm ,TATA,No ,5883 cc,Yes ,"12V x 2= 24V, 120Ah ",BS-IV ,CUMMINS ISBe5.9 ,6,,No ,No ,No ,No ,"Extra Heavy Duty Forged I Beam, Reverse Elliot Type ",Semi-elliptical Leaf spring ,11R20 ,300 Ltr,,28000,9-Speed ,,249,No ,No ,,No ,No ,,230 bhp  ,,810 Nm  ,,SIGNA-2823TK,No ,No ,No ,,,,,Yes ,,Yes ,No ,"Single Reduction, Extra Heavy Duty Hypoid Gears, Fully Floating Axle Shafts ",No ,Inverted TML Bogie ,11R20 ,No ,Yes ,Standard ,,No ,No ,Power Steering ,No ,No ,,Yes ,Manual ,No ,8500,No ,No ,3880 mm,No 
212,No ,No ,No ,,No ,,,12 V 50 Ah ,,,,Drum Brake ,,,,,,,Day Cabin ,,,Chassis with Cabin ,,LOHIA,No ,435 cc,Yes ,,BS-IV ,"Single Cylinder four stroke, Direct Injection Forced Air Oil Cooled ",1,,,,,No ,,Dual action hydraulic telescopic shock Absorber with helical springs ,4.5 - 10 - 8 PR ,10.5 Ltr,,950,4-Speed ,,,,No ,440,,,,8.1 bhp  ,45,22.2 Nm  ,,HUMSAFAR,No ,,,,1810,2965,1470,Yes ,,No ,,,,"Independent Suspension with triangular arm, Rubber Compression spring and dual action hydraulic shock absorber ",4.5 - 10 - 8 PR ,,No ,Standard ,D+3 ,,,Handle Bar ,No ,,No ,No ,Manual ,No ,,,,1945 mm,
213,No ,No ,Yes ,,No ,,No ,,No ,No ,Box body ,,No ,No ,No ,No ,No ,No ,Day Cabin ,No ,Yes ,Chassis with Cabin ,,MAHINDRA,No ,3500 cc,Yes ,,BS-IV ,"MDI Tech, 4 Cylinder with FuelSmart Technology ",4,,No ,No ,No ,No ,,,235 / 75 R 17.5 ,160 Ltr,,11100,6-Speed ,,,2266 mm (7.4 ft) ,No ,,No ,6796 mm (22.3 ft) ,,140 bhp  ,,525 Nm  ,,FURIO-11,No ,No ,No ,6,,,,,,,No ,,No ,,235 / 75 R 17.5 ,No ,Yes ,Standard ,,No ,No ,,No ,No ,,,Manual ,,,No ,No ,4950 mm,2298 mm (7.5 ft) 
214,No ,No ,Yes ,,Yes ,4x2 ,No ,,No ,No ,Deck Body ,Air Brakes ,No ,No ,No ,No ,. ,No ,Day Cabin ,No ,No ,Chassis with Cabin ,"330 mm diameter, singledry plate with hydraulic actuation and clutch booster ",ASHOK-LEYLAND,No ,0 cc,Yes ,24V ,BS-IV ,"H-series, 4-cylinder diesel engine ( CRS) ",4,,No ,No ,No ,No ,"""I"" section reverse elliot ",Parabolic springs ,8.25 x 20-16 PR ,208 Ltr,,12900,6-Speed ,20.7,260,1105(3.6) ,No ,,No ,6096 (20) ,,130bhp  ,,450Nm  ,,BOSS-1213,No ,No ,No ,,,9358,,Spring actuated pneumatic ,,Yes ,No ,Fully-floating single reduction hypoid gear ,No ,semi-elliptical multi-leaf springs ,8.25 x 20-16 PR ,No ,Yes ,Standard ,,No ,No ,Power Steering ,No ,No ,Yes ,Yes ,Manual ,No ,9045,No ,No ,5200 mm,2264(7.4) 
215,No ,Yes ,Yes ,,Yes ,No ,No ,,No ,No ,Customizable ,Air Brakes ,No ,No ,No ,No ,. ,No ,NA ,No ,No ,Chassis with Cabin ,"380 mm dia, single plate dry type with clutch booster ",ASHOK-LEYLAND,No ,0 cc,Yes ,2 x 12 V ,BS-IV ,H series CRS engine with iEGR technology ,,,No ,No ,No ,Yes ,Forged I Beam - Reverse Elliot Type ,Parabolic ,10 x 20-16PR ,400 Ltr,,40000,6-Speed ,,,No ,Yes ,,No ,No ,,180 Bhp  ,,660 Nm  ,,CAPTAIN-4019,No ,. ,No ,,,,,Yes ,,Yes ,No ,"Fully floating, single speed hypoid ",No ,Semi elliptic multileaf springs ,10 X 20-16PR ,No ,Yes ,Standard ,,No ,,Power Steering ,No ,No ,Yes ,No ,Manual ,Yes ,,No ,No ,0 mm,No 
216,Yes ,Yes ,Yes ,,No ,,,,No ,No ,Deck Body ,Air Brakes ,No ,No ,No ,No ,No ,No ,Sleeper Cabin ,No ,No ,Chassis with Cabin ,"380 Dia Single plate, Dry friction type ",TATA,No ,5900 cc,No ,No ,BS-IV ,Cummins ISBe 5.9L 180 CRe BS4 ,,,No ,No ,No ,No ,Heavy Duty Forged I Beam reverse Elliot Type ,Parabolic Leaf Spring ,295/80R22.5 ,300 Ltr,,37000,6-Speed ,18.8,,,No ,,No ,,,177.1 bhp  ,80,700 Nm  ,,PRIMA-LX-3718T,No ,,No ,,,,,Yes ,,Yes ,No ,Tata Single reduction axle ,No ,37T HAULMAAX Heavy Duty Rubber Suspension ,295/80R22.5 ,No ,Yes ,Standard ,,No ,,Power Steering ,No ,No ,No ,Yes ,Manual ,No ,,No ,No ,6860 mm,
217,Yes ,Yes ,Yes ,,Yes ,8x4 ,No ,,No ,No ,Rock/Scoop Body ,Disc Brakes ,No ,No ,No ,No ,,No ,Day Cabin ,No ,No ,Chassis with Cabin ,Dependable ,SCANIA,Yes ,12976 cc,Yes ,No ,E-III ,"Scania DC 13, Variable Geometry Turbocharger ",6,,No ,No ,No ,Yes ,"Twin steer-able Axles,Forged ""I"" beam reverse Elliot type Axles ",Air suspension on both Axles ,295/80 R 22.5 ,300 Ltr,,31000,14-Speed ,38,300,No ,Yes ,20500,No ,No ,,410bhp  ,100,2000Nm  ,,P410-8X4,No ,No ,No ,,3600,9200,2650,Yes ,10500 Kgs,Yes ,No ,"First rear Axle: Single reduction Hypoid gear Axle,Second rear Axle: Single reduction Hypoid gear Axle with
 differential lock ",No ,Air suspension ,295/80 R 22.5 ,No ,Yes ,Reclining ,,No ,20,Power ,No ,No ,Yes ,Yes ,Semi Automatic ,No ,10460,No ,No ,4053 mm,No 
218,No ,No ,Yes ,,,,No ,,No ,No ,Box body ,Air Brakes ,No ,No ,No ,No ,No ,No ,Day Cabin ,No ,Yes ,,Single plate dry friction type-280 mm dia ,TATA,No ,0 cc,No ,12V ,BS-IV ,3.8 SGI Sequential gas Injection Engine ,,,No ,No ,No ,No ,"Heavy Duty Forged I Beam, Reverse Elliot Type ",Semi- Elliptical Leaf spring ,8.25 X 16 PR ,430 Ltr,,10550,5-Speed ,18,217,NA ,No ,,No ,5062,,81.9 bhp  ,84,270 Nm  ,,LPT-909-EX-CNG,No ,No ,No ,,,,,Yes ,,No ,No ,"Single Reduction Hypoid Gears, Fully Floating Axle Shafts ",No ,Semi- Elliptical Leaf spring ,8.25 X 16 PR ,No ,Yes ,Standard ,,No ,No ,Power Steering ,,No ,No ,Yes ,Manual ,Yes ,,No ,No ,3800 mm,2042
219,No ,No ,Yes ,,No ,4x2 ,No ,,"Dual circuit, full air S cam with VOSS fitment ",No ,Customizable ,Air Brakes ,No ,No ,No ,No ,. ,No ,Day Cabin ,No ,No ,Chassis with Cabin ,330 mm dia. ,EICHER,No ,3770 cc,Yes ,No ,BS-IV ,"E494, 4 Cylinder 4 Valve CRS Engine, equipped with Volvo Group EMS 3.0 ",4,,No ,No ,No ,Yes ,. ,Semi-elliptical laminated leaves (with shock absorber) ,8.25 X 20 - 16 PR ,160 Ltr,,13000,6-Speed ,37,210,No ,No ,,No ,7357(24) ,,135 bhp  ,,450 Nm  ,,PRO-1110-XPT,No ,No ,No ,,,,,Yes ,,Yes ,No ,meritor axel for enhanced reliability tough of rood applications ,No ,Semi-elliptical laminated leaves (with shock absorber) ,8.25 X 20 - 16 PR ,No ,Yes ,Standard ,,No ,No ,Power Steering ,No ,No ,Yes ,Yes ,Manual ,No ,6450,No ,No ,3335 mm,2284(7.5) 
220,No ,Yes ,Yes ,,Yes ,. ,NA ,,Spring acutated pneumatic ,NA ,Fully Built ,Air Brakes ,NA ,NA ,NA ,NA ,. ,NA ,Day Cabin ,NA ,NA ,Chassis with Cabin ,310 mm single plate dry booster ,ASHOK-LEYLAND,No ,0 cc,Yes ,12 V 75 Amp ,BS-IV ,H series 3 cylinder UPCRS ,3,,NA ,NA ,NA ,Yes ,I section reverse illiot ,Shackle handle multileaf springs ,8.25R20 16 PR ,185 Ltr,,13100,6-Speed ,. ,. ,. ,No ,. ,NA ,6096(20) ,,115 bhp  ,. ,320 Nm  ,. ,GURU,Yes ,NA ,NA ,,. ,8243,2200,Yes ,. Kgs,Yes ,NA ,Fully floating hyphoting axle ,NA ,Shackle handle multileaf springs ,8.25R20 16 PR ,NA ,Yes ,Standard ,,NA ,No ,Power Steering ,YES ,NA ,Yes ,Yes ,Manual ,Yes ,7750,NA ,NA ,4320 mm,2133(7) 
221,No ,No ,No ,,No ,,,,,,,Drum Brake ,,,,,,,Day Cabin ,,,Chassis with Cabin ,,BAJAJ,No ,216 cc,Yes ,,BS-IV ,"DTSi Four stroke, twin spark-ignition, single cylinder, liquid cooled ",1,,,,,No ,,,,,,450,5-Speed ,18,,,No ,,,,,13 bhp  ,70,16.1 Nm  ,,QUTE,No ,,,,1652,2752,1312,Yes ,,No ,,,,,,,No ,Standard ,D+3 ,,,Manual Steering ,No ,,No ,No ,Manual ,No ,3500,,,1925 mm,
222,Optional ,Yes ,Yes ,,No ,,No ,,No ,No ,Deck Body ,Air Brakes ,No ,No ,No ,No ,No ,No ,Day and Sleeper Cabin ,No ,Yes ,Chassis with Cabin ,,MAHINDRA,No ,7200 cc,Yes ,24V (2x12) ,BS-IV ,mPower 7.2 ltr FuelSmart ,,,No ,No ,No ,No ,,Parabolic Leaf Spring ,11.00 X 20 16PR ,330 Ltr,Diesel ,55000,9-Speed ,19,,,No ,,No ,,,273 bhp  ,80,950 Nm  ,,BLAZO-X-55,No ,No ,No ,22,,,,Yes ,,Yes ,No ,"Live Banjo Type Single Reduction,fully floating axle Shafts ",No ,Semi elliptical Leaf spring ,11.00 X 20 16PR ,No ,Yes ,Standard ,D+2 ,No ,No ,Power Steering ,No ,No ,,Yes ,Manual ,,,No ,No ,4100 mm,
223,Yes ,Yes ,Yes ,,No ,6x2 ,Semi-trailer ,,"S-cam brakes with automatic adjustment, Exhaust Brake as auxiliary brake ",No ,Trailer Body ,Air Brakes ,No ,No ,No ,No ,,No ,Sleeper Cabin ,No ,No ,Chassis with Cabin ,"Single plate, Pull type, Power assisted ",EICHER,Yes ,7700 cc,Yes ,"24 V, 2X150 Ah ",BS-IV ,"VEDX8, Inline 6-Cylinder Common Rail Direct Injection (CRDi) BSIV Diesel Engine with SCR technology ",6,,No ,No ,No ,Yes ,Forged I Beam reverse Elliot type ,Parabolic Multileaf suspension ,11.0 X 20.0 - 16PR ,405 Ltr,,49000,9-Speed ,23,288,No ,No ,8250,No ,No ,,280 bhp  ,85,1050Nm  ,,PRO-8049-6X2,No ,3,No ,,3326,7195,2550,Yes ,40750 Kgs,Yes ,No ,Single Reduction ,No ,Volvo group patented design maintenance free heavy duty Bogie Suspension ,11.0 X 20.0 - 16PR ,No ,Yes ,Standard ,,No ,No ,Tilt and telescopic power steering ,YES ,No ,Yes ,Yes ,Manual ,No ,8000,No ,No ,4085 mm,No 
224,No ,No ,Yes ,,No ,4x2 ,No ,,No ,No ,Deck Body ,Air Brakes ,No ,No ,24V ,No ,. ,No ,Day Cabin ,No ,No ,Chassis with Cabin ,"330 mm diameter, singledry plate with hydraulic actuation and clutch booster ",ASHOK-LEYLAND,No ,0 cc,Yes ,2 X 12V ,BS-IV ,"H-series, 4-cylinder diesel engine (CRS) ",4,,No ,No ,No ,No ,"""I"" section reverse elliot ",Parabolic springs ,235/75R 17.5 ,208 Ltr,,10700,6-Speed ,26,178,590(1.9) ,No ,,No ,4267 (14) ,,130bhp  ,. ,450Nm  ,. ,BOSS-913,No ,No ,No ,,,6422,,Spring actuated pneumatic ,,Yes ,No ,Fully-floating single reduction hypoid gear ,No ,semi-elliptical multi-leaf springs ,235/75R 17.5 ,No ,Yes ,Standard ,,No ,No ,Power Steering and Tiltable Telescopic Steering ,No ,No ,Yes ,Yes ,Manual ,Yes ,5950,No ,No ,3440 mm,2135(7) 
225,No ,,No ,,No ,,,12V DC ,,,Fully Built ,Drum Brake ,,,,,,,,,,,Multi Plate Wet Type ,PIAGGIO,No ,230 cc,Yes ,,BS-VI ,Forced Air Cooled Engine ,,,,,,No ,,Hydraulic Telescopic Shock Absorber with Helical Compression Spring with Damper ,"4.0 - 8, 4 PR, 70E ",30 Ltr,CNG ,722,Constant Mesh ,21.63,170,,,422,,,,8.85 bhp ,,14.8 Nm ,,APE-CITY-BS6,No ,,,,1725,2700,1370,Yes ,360 Kgs,,,,,Hydraulic Telescopic Shock Absorber with Rubber Compression Spring with Damper ,"4.0 - 8, 4 PR, 70E ",,,Standard ,D+3 ,,,Handle Bar ,,,No ,No ,Manual ,,,,,1920 mm,
226,Yes ,Yes ,Yes ,,Yes ,6x2 ,No ,,No ,No ,Trailer Body ,Air Brakes ,No ,No ,No ,No ,,No ,Sleeper Cabin ,No ,No ,Chassis with Cabin ,"432 mm dia., Singledry plate type ",SCANIA,Yes ,12700 cc,Yes ,No ,E-III ,"Scania DC13 107, DI Turbocharged Intercooled,electronically managed and with in-built Retarder ",6,,No ,No ,No ,No ,"Forged ""I"" beam reverse Elliot type Axle ",Parabolic leaf springs suspensio ,11.00 R 20 ,1000 Ltr,,49000,14-Speed ,18,260,No ,Yes ,9294,No ,No ,,410bhp  ,100,2000Nm  ,,G410,No ,No ,No ,,3104,6911,2550,Yes ,39706 Kgs,Yes ,No ,"First rear Axle: Single reduction Hypoid gear Axle
 Second rear Axle: Tag-Lift axl ",No ,Air suspension ,11.00 R 20 ,No ,Yes ,Standard ,,No ,No ,Power ,No ,No ,Yes ,Yes ,Semi Automatic ,No ,7358,No ,No ,3950 mm,No 
227,Yes ,No ,Yes ,,No ,,No ,,No ,No ,Customizable ,Air Brakes ,No ,No ,No ,No ,,No ,Day and Sleeper Cabin ,No ,Yes ,Chassis with Cabin ,Single plate dry friction type 352mm organic ,TATA,No ,5900 cc,Yes ,"2 x 12 V, 100Ah ",BS-IV ,699 TCIC CRDI ,,,No ,No ,No ,No ,,Semi-elliptical Multi-leaf Spring ,295/80R 22.5 ,225 Ltr,,18500,6-Speed ,24,,,No ,,No ,,,134 bhp  ,,490 Nm  ,,LPT-1913,No ,No ,No ,,,,,Yes ,,Yes ,No ,Single reduction hypoid gears fully floating axle shafts ,No ,Semi-elliptical Multi-leaf Spring ,295/80R 22.5 ,No ,Yes ,Standard ,,No ,No ,Power Steering ,No ,No ,,Yes ,Manual ,Yes ,,No ,No ,4855 mm,2440
228,No ,No ,Yes ,,No ,,No ,,No ,No ,Customizable ,Hydraulic Brakes ,No ,No ,No ,No ,,No ,Day Cabin ,No ,Yes ,Chassis with Cabin ,Single plate dry friction type- 280 mm dia ,TATA,No ,2956 cc,Yes ,No ,BS-IV ,TATA 4SP CR TURBO INTERCOOLED ,,,No ,No ,No ,No ,,Semi Elliptical Leaf Springs with Antiroll Bar Hydraulic double acting telescopic type shock absorbers ,7.50R16 -14PR ,60 Ltr,,4995,5-Speed ,29,223,,No ,2140,No ,,,83 bhp  ,,250 Nm  ,,SFC-407-RJ-EX2,No ,No ,No ,,2330,5235,1905,Yes ,,Yes ,No ,,No ,Semi Elliptical Leaf Spring Hydraulic double acting telescopic type shock absorbers ,7.50R16 -14PR ,No ,Yes ,Standard ,,No ,,Power Steering ,No ,No ,,Yes ,Manual ,No ,6550,No ,No ,3305 mm,
229,Optional ,Yes ,No ,,No ,NA ,"Single Speed Hypoid Gear, Fully Floating Axle Shafts ",,Electro-pneumatically Operated Coupled with Service Brake ,NA ,Box body ,Air Brakes ,NA ,NA ,NA ,NA ,,NA ,Day Cabin ,NA ,Ladder type Heavy Duty Frame ,Chassis with Cabin ,Single Platre Dry Type 380 mm ,TATA,No ,5883 cc,Yes ,24 V ,BS-IV ,Cummins 6BT 5.9 ,6,,NA ,NA ,NA ,No ,Extra Heavy Duty Forged I Beam Reverse elliot type ,Parabolic Leaf Springs ,10R20 - 16 PR ,400 Ltr,,31000,6-Speed ,21.6,,NA ,No ,7700,NA ,NA ,,178 BHP  ,80,685 Nm  ,,SIGNA-3181T,Yes ,NA ,NA ,,,9420,2400,No ,23300 Kgs,Yes ,NA ,RA 109 RR ,NA ,Semi Elliptical Leaf Springs ,10R20 - 16 PR ,NA ,Yes ,Standard ,,NA ,NA ,Power Steering ,YES ,NA ,No ,No ,Manual ,No ,9950,NA ,NA ,5505 mm,NA 
